track,item_id,citation_index,url,title,passage,claim,support_rationale,gold_label,notes
definitions,definitions_005_lock_in_mechanisms,6,https://www.forethought.org/research/agi-and-lock-in,AGI and Lock-in,"Claims A-C assert that the future is basically determined today. Claim D asserts that the future is, and will remain, undetermined. In this document, we argue for claim E: Some of the most important features of the future of intelligent life are currently undetermined but could *…","That paper's two core mechanisms are (i) AGI's ability to ""perfectly preserve nuanced specifications of a wide variety of values or goals far into the future"" and (ii) the construction of ""AGI-based institutions that would (with high probability) competently pursue any such values for at least millions, and plausibly trillions, of years"" .","UNSUPPORTIVE

The cited passage discusses whether the future is determined or undetermined, but it does not address the specific mechanisms claimed—AGI's ability to preserve values across time or the construction of AGI-based institutions to pursue those values for extended periods. The passage is from an adjacent topic within what may be the relevant paper's framework, but it does not substantiate the two core mechanisms described in the claim.",,
arguments,arguments_002_lock_in_mechanisms,0,https://www.forethought.org/research/agi-and-lock-in,AGI and Lock-in,# AGI and Lock-in **Abstract.** The long-term future of intelligent life is currently unpredictable and undetermined. We argue that the invention of artificial general intelligence (AGI) could change this by making extreme types of lock-in technologically feasible.,"Their abstract frames it as two top-level claims — that AGI makes it possible to (i) perfectly preserve nuanced specifications of values, and (ii) build institutions that competently pursue those values for ""at least millions, and plausibly trillions, of years"" .","UNSUPPORTIVE

The passage mentions that AGI could make ""extreme types of lock-in technologically feasible"" but does not specify what such lock-in would entail. It does not explicitly support either of the two detailed claims: (i) perfectly preserving nuanced value specifications, or (ii) building institutions to pursue those values for millions or trillions of years. The generic reference to ""lock-in"" is too vague to constitute support for these specific, detailed assertions.",,
claim_recall,claim_recall_002,2,https://www.forethought.org/research/once-ai-research-is-automated-will-ai-progress-accelerate,"Once AI Research is Automated, Will AI Progress Accelerate?","# Will intelligence explosions accelerate? What does this mean for whether an intelligence explosion would accelerate? [Elsewhere](/research/three-types-of-intelligence-explosion), we argue that these feedback loops could lead to three particularly plausible kinds of intelligence…","Worth flagging: the specific ~65% figure appears in the companion piece ""Once AI Research is Automated, Will AI Progress Accelerate?"" rather than in ""Three Types of Intelligence Explosion"" itself, though both are part of the same March 2025 series and share the same three-loop framing .","UNSUPPORTIVE

The cited passage is too fragmentary to support the claim. It merely shows a brief snippet about ""three particularly plausible kinds of intelligence explosion"" but contains no reference to the ~65% figure, makes no distinction between which document that figure appears in, and provides no information about the relationship between the two companion pieces or their shared framing. The passage does not address any of the specific claims being made about where the figure is located and where it is not.",,
claim_recall,claim_recall_003,0,https://www.forethought.org/research/three-types-of-intelligence-explosion,Three Types of Intelligence Explosion,## The landscape of the intelligence explosion Let’s recap our characterisation of the three feedback loops: | Feedback loop | Jobs automated by AI | Time lags in the feedback loop[^20] | Likelihood of accelerating progress (ignoring other feedback loops) *(Numbers are very rough…,"In the recap table at the end of ""Three Types of Intelligence Explosion,"" they list chip production with a ~80% likelihood of accelerating progress when considered in isolation, alongside ~50% for software and ~65% for chip technology — though they flag that the numbers are ""very rough"" .","UNSUPPORTIVE

The passage shows only the table header and column structure (including ""Likelihood of accelerating progress (ignoring other feedback loops)"" and the caveat that ""Numbers are very rough!""), but does not display the actual data rows containing the specific percentages (80%, 50%, 65%) that are central to the claim. Without the actual numerical values visible in the passage, the specific figures cannot be verified.",,
claim_recall,claim_recall_004,1,https://www.forethought.org/research/how-quick-and-big-would-a-software-intelligence-explosion-be,How quick and big would a software intelligence explosion be?,| **Method** | **Forecasted initial speed-up in software progress due to ASARA** | | :-- | :-- | | Survey researchers about speed-ups from abundant cognitive labour – ask directly about total gain | 10X | | Survey researchers about speed-ups from abundant cognitive labour – ask s…,The companion table where researchers were asked separately about different sources of speed-up (and the gains then combined) instead yields 28X .,"UNSUPPORTIVE

The passage is incomplete and does not contain the specific number 28X. While it references surveying researchers and mentions asking ""separately"" as a method, the passage cuts off mid-text before showing the actual speed-up value for the separate-asking approach, so it cannot support the specific claim that this method yields 28X.",,
arguments,arguments_001_ai_coups_distinct,7,https://www.forethought.org/research/ai-enabled-coups-how-a-small-group-could-use-ai-to-seize-power,AI-Enabled Coups: How a Small Group Could Use AI to Seize Power,"## 4.1 Coups using military AI Today, staging a coup requires convincing human soldiers to cooperate. Mature democracies rarely experience coups from the military, or even coup attempts — because soldiers remain loyal to democratic institutions, and expect others to do the same.[…","Military automation will proceed because ""military competition is likely to drive deployment of military AI systems,"" with millions of automated researchers driving rapid advances and intense pressure not to be outcompeted — even where caution would counsel otherwise .","UNSUPPORTIVE

The passage discusses coups and military loyalty to democratic institutions, but does not address military competition, deployment pressures, automated researchers, or competitive dynamics driving AI advancement. While both concern military AI, the passage addresses an entirely different topic and provides no support for the claim about competition-driven deployment.",,
arguments,arguments_004_country_outgrowth,4,https://www.forethought.org/research/once-ai-research-is-automated-will-ai-progress-accelerate,"Once AI Research is Automated, Will AI Progress Accelerate?","The existence of a positive feedback loop, however, doesn’t mean that you get accelerating progress. For acceleration, each doubling of inputs must take less time than the previous doubling \- even though the volume of inputs is twice as large.[^1] The key issue is: **when you do…","**Why AGI could trigger this regime.** The piece itself doesn't relitigate the case for superexponential growth in detail, but Davidson's wider work argues that fully automating labour gives the economy increasing returns to scale, and that R&D-feedback and chip-production-feedback loops mean each doubling of inputs produces more than one doubling of output — the formal condition for accelerating, rather than constant, exponential growth .","UNSUPPORTIVE

The passage defines acceleration in terms of doubling time decreasing (""each doubling of inputs must take less time than the previous doubling""), while the claim defines the formal condition as the output-to-input multiplier effect (""each doubling of inputs produces more than one doubling of output""). These are distinct formal characterizations of what drives acceleration, and the passage does not support the claim's specific definition of the formal condition.",,
arguments,arguments_001_ai_coups_distinct,1,https://www.forethought.org/research/the-importance-of-ai-character,The importance of AI character,"# 1. The core argument As capabilities improve, AI systems will become involved in almost all of the world’s most important decisions. Even if humans remain partially in the loop, AIs will advise political leaders and CEOs, draft legislation, run fully automated organisations (in…",the Alpha Group's 1991 refusal to storm the Russian White House ).,"UNSUPPORTIVE

The cited passage discusses artificial intelligence systems and their future role in decision-making, while the claim refers to a 1991 Russian special forces historical event. The passage contains no information about the Alpha Group, the Russian White House incident, or any related historical event.",,
arguments,arguments_004_country_outgrowth,11,https://www.forethought.org/research/could-one-country-outgrow-the-rest-of-the-world,Could one country outgrow the rest of the world?,"I consider two arguments for why a country could outgrow the rest of the world. First, the Superexponential Growth Argument. After developing AGI, economic growth may become faster and faster over time – superexponential growth. If countries follow superexponential growth trajectories, an initial economic lead becomes bigger and bigger over time.","But going from there to >90% requires successfully suppressing diffusion, which he is ""pretty unsure"" about; the most plausible vehicles he names are a US-led trading bloc extending export controls against authoritarian states, or a power-seeking group that has staged a coup .","UNSUPPORTIVE

The passage discusses superexponential growth as a mechanism for one country to outgrow others economically after AGI development, but it does not address the suppression of diffusion, the author's uncertainty about it, or the specific mechanisms (US-led trading blocs, power-seeking coups) that the claim identifies as plausible vehicles for reaching >90%.",,
claim_recall,claim_recall_003,2,https://www.forethought.org/research/once-ai-research-is-automated-will-ai-progress-accelerate,"Once AI Research is Automated, Will AI Progress Accelerate?","We argue that, putting aside any human actions to slow AI progress: * **The software feedback loop** *by itself* might well be enough to sustain accelerating progress (\~50%). * **The chip technology feedback loop** *by itself* is probably enough to sustain accelerating progress (\~65%).","The same estimate appears in the companion piece ""Once AI Research is Automated, Will AI Progress Accelerate?"", where they spell out the implication: because the chip production loop alone is ""very likely"" enough (~80%), and it stacks with the other two, a full-stack IE is ""highly likely to accelerate"" (~90%) .","UNSUPPORTIVE

The passage contains significantly different percentage estimates than those claimed: it states the chip technology feedback loop is ""probably enough"" (~65%), not the ~80% asserted in the claim, and it does not mention the ~90% figure for full-stack IE at all. By the strictness rule for specific numbers, a 15-point discrepancy (65% vs. 80%) is not a nearby variation but a material difference that makes the passage unsupportive of these specific claims.",,
definitions,definitions_006_ai_enabled_coup,1,https://www.forethought.org/research/ai-enabled-coups-how-a-small-group-could-use-ai-to-seize-power,AI-Enabled Coups: How a Small Group Could Use AI to Seize Power,"# 4 Concrete paths to an AI-enabled coup In the previous section, we identified three key risk factors that make AI-enabled coups more likely: AI systems with singular loyalties to institutional leaders, secret loyalties, and exclusive access to coup-enabling capabilities. Now we will explore how these risk factors could enable coups in practice.","They split the threat into two main forms: coups carried out *using military AI* (a wholly new pathway opened up by autonomous weapons), and *conventional coups and backsliding* that AI exacerbates or directly assists .","UNSUPPORTIVE

The passage discusses three risk factors for AI-enabled coups but does not split the threat into the two distinct forms claimed (military AI-powered coups vs. conventional coups that AI exacerbates). The passage's framework of risk factors is a different analytical approach than the categorical split asserted in the claim.",,
definitions,definitions_005_lock_in_mechanisms,0,https://www.forethought.org/research/beyond-existential-risk,Beyond Existential Risk,"# Beyond Existential Risk **Abstract.** Bostrom's Maxipok principle suggests reducing existential risk should be the overwhelming focus for improving humanity’s long-term prospects. But this rests on an implicitly dichotomous view of future value, where most outcomes are either near-worthless or near-best.","The paper groups the relevant levers under three headings: **values, institutions, and power distributions** — these are the things they argue can become ""locked in during the coming century"" with persistent astronomical-scale consequences .","UNSUPPORTIVE

The cited passage is an abstract that discusses the Maxipok principle and assumptions about future value, but it contains no mention of the three groupings (values, institutions, and power distributions), the concept of ""locking in"" outcomes over the coming century, or any astronomical-scale consequences. The passage does not support the specific claim about how the paper organizes its levers.",,
definitions,definitions_005_lock_in_mechanisms,12,https://www.forethought.org/research/agi-and-lock-in,AGI and Lock-in,# AGI and Lock-in **Abstract.** The long-term future of intelligent life is currently unpredictable and undetermined. We argue that the invention of artificial general intelligence (AGI) could change this by making extreme types of lock-in technologically feasible.,"BER itself flags the *categories*; the mechanism detail lives in ""AGI and Lock-in""  and ""Preparing for the Intelligence Explosion"" .","UNSUPPORTIVE

The passage is merely the abstract of the ""AGI and Lock-in"" section, but it does not support the claim's structural assertion that ""BER itself flags the *categories*"" or substantiate that mechanism detail ""lives"" in this section. The passage would need to explicitly discuss the organization or structure of BER and the role of these sections to support the claim.",,
arguments,arguments_003_software_ie_acceleration,12,https://www.forethought.org/research/once-ai-research-is-automated-will-ai-progress-accelerate,"Once AI Research is Automated, Will AI Progress Accelerate?","## Software feedback loop The question we care about is, when we double the human researcher population (i.e. double cognitive inputs), how many times does software double?[^5] If the answer is \>1, then progress is accelerating.","Folding capability gains (not just efficiency) into the picture, and adjusting downward for compute bottlenecks on experiments, Davidson and Houlden (2025) estimate a central $r=1.2$ with a range of 0.4 to 3.6 .","UNSUPPORTIVE

The passage only defines what the variable ""r"" conceptually represents (the ratio of software doubling to human researcher doubling), but contains none of the specific numbers cited in the claim (1.2, 0.4, 3.6) or any methodological details about capability gains, efficiency adjustments, or compute bottleneck adjustments that the claim describes.",,
arguments,arguments_001_ai_coups_distinct,13,https://www.forethought.org/research/ai-enabled-coups-how-a-small-group-could-use-ai-to-seize-power,AI-Enabled Coups: How a Small Group Could Use AI to Seize Power,"# 4 Concrete paths to an AI-enabled coup In the previous section, we identified three key risk factors that make AI-enabled coups more likely: AI systems with singular loyalties to institutional leaders, secret loyalties, and exclusive access to coup-enabling capabilities. Now we will explore how these risk factors could enable coups in practice.","The piece is careful that this is conditional on full autonomy and wide military deployment ; the authors also discuss ""conventional"" AI-exacerbated coups as a separate, less novel pathway .","UNSUPPORTIVE: The passage is an introductory section listing three risk factors for AI-enabled coups, but contains no discussion of conditions related to ""full autonomy and wide military deployment"" or any comparison to ""conventional"" AI-exacerbated coups as separate pathways.",,
synthesis,synthesis_001_ie_timeline_compression,6,https://www.forethought.org/research/once-ai-research-is-automated-will-ai-progress-accelerate,"Once AI Research is Automated, Will AI Progress Accelerate?","## Chip production feedback loop Because software and (our definition of) chip technology are virtual, better AI straightforwardly leads to better software and chip technology. But chip production also involves physical labour, so there is a key additional step in the feedback lo…","Software improvements happen inside frontier labs and require relatively few hands; chip technology pulls in NVIDIA, TSMC, ASML, and the broader semiconductor stack ; chip production pulls in fab construction, robotics, raw materials, and energy across many jurisdictions .","UNSUPPORTIVE

The passage distinguishes between virtual aspects (software and chip technology) and physical aspects (chip production involving physical labour) but provides none of the specific details claimed—no mention of frontier labs, the companies NVIDIA/TSMC/ASML, or the specific resources and jurisdictions involved in chip production. The passage is too generic to support the concrete claims made.",,
definitions,definitions_004_three_ie_types,7,https://www.forethought.org/research/how-suddenly-will-ai-accelerate-the-pace-of-ai-progress,How Suddenly will AI Accelerate the Pace of AI progress?,"The transition will likely play out differently in different areas of AI progress. We think it’s helpful to distinguish between three separate feedback loops in which AI improves AI: * A *software* feedback loop, where AI develops better software.","- A **full-stack IE**, which incorporates all three loops, including AI- and robot-driven scaling of chip *production* (building more fabs and chips) .","UNSUPPORTIVE

The passage introduces the concept of three feedback loops for AI improvement and begins describing one (a software feedback loop), but it contains no information about chip production, fab construction, robot-driven scaling, or any manufacturing-related aspects mentioned in the claim.",,
definitions,definitions_004_three_ie_types,13,https://www.forethought.org/research/how-suddenly-will-ai-accelerate-the-pace-of-ai-progress,How Suddenly will AI Accelerate the Pace of AI progress?,"The transition will likely play out differently in different areas of AI progress. We think it’s helpful to distinguish between three separate feedback loops in which AI improves AI: * A *software* feedback loop, where AI develops better software.","If you want to go deeper, the natural next read is *How Suddenly will AI Accelerate the Pace of AI progress?* , which is the companion paper focused on the transition dynamics rather than the taxonomy.","UNSUPPORTIVE

The passage discusses ""the transition"" and feedback loops in AI development but does not mention the companion paper title, recommend it as a next read, or describe its focus on transition dynamics versus taxonomy. The passage appears to be from a paper discussing these concepts itself, but it provides no evidence for the existence or recommendation of the cited paper.",,
